Address,Station code,Latitude,Longitude
"19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea",101,37.5720164,127.0050075
"15, Deoksugung-gil, Jung-gu, Seoul, Republic of Korea",102,37.5642629,126.9746757
"136, Hannam-daero, Yongsan-gu, Seoul, Republic of Korea",103,37.5400327,127.00485
"215, Jinheung-ro, Eunpyeong-gu, Seoul, Republic of Korea",104,37.6098232,126.9348476
"32, Segeomjeong-ro 4-gil, Seodaemun-gu, Seoul, Republic of Korea",105,37.5937421,126.9496787
"10, Poeun-ro 6-gil, Mapo-gu, Seoul, Republic of Korea",106,37.5555803,126.9055975
"18, Ttukseom-ro 3-gil, Seongdong-gu, Seoul, Republic of Korea",107,37.5418642,127.0496589
"571, Gwangnaru-ro, Gwangjin-gu, Seoul, Republic of Korea",108,37.5471803,127.0924929
"43, Cheonho-daero 13-gil, Dongdaemun-gu, Seoul, Republic of Korea",109,37.5757428,127.0288848
"369, Yongmasan-ro, Jungnang-gu, Seoul, Republic of Korea",110,37.5848485,127.0940229
"70, Samyang-ro 2-gil, Seongbuk-gu, Seoul, Republic of Korea",111,37.6067189,127.0272794
"49, Samyang-ro 139-gil, Gangbuk-gu, Seoul, Republic of Korea",112,37.6479299,127.0119518
"34, Sirubong-ro 2-gil, Dobong-gu, Seoul, Republic of Korea",113,37.6541919,127.0290879
"17, Sanggye-ro 23-gil, Nowon-gu, Seoul, Republic of Korea",114,37.6587743,127.0685054
"56, Jungang-ro 52-gil, Yangcheon-gu, Seoul, Republic of Korea",115,37.5259388,126.8566029
"71, Gangseo-ro 45da-gil, Gangseo-gu, Seoul, Republic of Korea",116,37.54464,126.8351506
"45, Gamasan-ro 27-gil, Guro-gu, Seoul, Republic of Korea",117,37.4984981,126.8896924
"20, Geumha-ro 21-gil, Geumcheon-gu, Seoul, Republic of Korea",118,37.4523569,126.9082956
"11, Yangsan-ro 23-gil, Yeongdeungpo-gu, Seoul, Republic of Korea",119,37.5250065,126.8973705
"6, Sadang-ro 16a-gil, Dongjak-gu, Seoul, Republic of Korea",120,37.4809167,126.9714807
"14, Sillimdong-gil, Gwanak-gu, Seoul, Republic of Korea",121,37.4873546,126.927102
"16, Sinbanpo-ro 15-gil, Seocho-gu, Seoul, Republic of Korea",122,37.5045471,126.9944578
"426, Hakdong-ro, Gangnam-gu, Seoul, Republic of Korea",123,37.5175282,127.0474699
"236, Baekjegobun-ro, Songpa-gu, Seoul, Republic of Korea",124,37.5026857,127.0925092
"59, Gucheonmyeon-ro 42-gil, Gangdong-gu, Seoul, Republic of Korea",125,37.5449625,127.1367917
